序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
38,王浚,王濬（207年～286年）[1] ，字士治，小名阿童，弘农郡湖县（今河南省灵宝市阌乡）人。西晋时期名将。王濬出身世家，博学多闻，容颜英俊，多谋善战。举秀才出身，起家河东郡从事。泰始八年（272年），担任广汉太守，平定益州叛乱，迁益州刺史。利用长江上游地势之利，修造战船，组建强大的水军。上书晋武帝，促成晋灭吴之战。咸宁六年（280年），率兵顺流而下，熔毁横江铁链，攻克丹阳郡，率先攻取石头城，接受吴末帝孙皓投降，完成西晋统一大业。凭借功勋，拜辅国将军、步兵校尉，册封襄阳侯。为避猜忌，纵情享受，累迁特进、抚军大将军、开府仪同三司、散骑常侍、后军将军等。太康六年十二月（286年1月18日），王濬去世，享年八十岁，谥号为“武”，安葬于柏谷山。概述图片来源：[2] ,80,80,160,旋龙1突石剑7突袭石15旋龙合璧21伏兵连阵27旋龙天舞33,后选出阵1增强攻击(初)8降敌士气(中)15包围敌军20快速集气(中)15包围敌军20快速集气(中)28扰乱敌将(高)34,眉尖刀,玄 ,玄,弓 武 ,弓,,,,,许昌野,,4
39,王双,王双（？-228年）又作王生，三国时期曹魏名将。蜀汉建兴六年（228年）冬，诸葛亮出散关，攻陈仓，后粮尽而退。王双率领骑兵追击蜀军，但在与蜀军的交战中被击败，王双也被蜀军所斩。[1] 在《三国演义》中，王双字子全，是陇西郡狄道县（今甘肃临洮县）人，有万夫不当之勇。在诸葛亮北伐期间，被魏延所斩。,84,78,162,落日弓1回天术6冰柱刺13冰柱群峰19伏兵连阵24飞矢烈震31冰岚刃舞37,降敌士气(初)1增加体力(初)8强化武将(初)14保护主将21降敌士气(高)14保护主将21降敌士气(高)28扰乱敌将(高)36,眉尖刀,方 钩 ,方,炼 ,炼,,,长安野,长安野,长安登,,4
40,司马孚,司马孚（180年－272年4月3日），字叔达。河内郡温县（今河南温县）人。三国曹魏至西晋初年重臣，西晋宗室，东汉京兆尹司马防第三子，晋宣帝司马懿之弟。自曹操时代起，司马孚就任文学掾，而后历仕魏国五代皇帝，累迁至太傅。司马孚在“高平陵事变”之际，协助司马懿控制京师，诛杀曹爽一党。后又督军成功防御吴、蜀的进攻，为司马氏政权的稳固多有功劳。但他性格十分谨慎，自司马懿执掌大权起，便逐渐引退，更未直接参与司马氏废立魏帝的谋划。西晋代魏后，司马孚进拜太宰，封安平王。晋武帝司马炎对他十分尊宠，但他并不以此为荣，至死仍以魏臣自称。泰始八年二月壬辰日（272年4月3日），司马孚去世，年九十三。武帝为其举哀三日，葬礼规格比照东汉东平献王刘苍，赐谥献王。,38,78,116,火箭1雷击7雷光波动15后伏连兵23雷击闪30,后选出阵1强化士兵(初)7增加经验(初)15太公阵22恢复体力(中)15太公阵22恢复体力(中)28增强攻击(中)36,直剑,锥 ,锥,弓 ,弓,,,,,邺登,,5
41,司马炎,暂无,81,71,152,刀剑乱1旋灯火7八面火转15地茅乱刺21乱刀狂舞27龙炮灭杀34,鼓舞士气(初)1增强攻击(初)9强化武将(初)16乱阵25恢复技力(中)16乱阵25恢复技力(中)33,直剑,方 玄 ,玄,弓 ,弓,,,,,许昌野,司马懿,3
42,司马昭,司马昭（211年—265年9月6日），字子上（小说《三国演义》为子尚），河内温县（今河南省温县）人。三国时期曹魏权臣，西晋王朝的奠基人之一。为晋宣帝司马懿与宣穆皇后张春华次子、晋景帝司马师之弟、晋武帝司马炎之父。司马昭早年随父抗击蜀汉，多有战功。累官洛阳典农中郎将，封新城乡侯。正元二年（255年），继兄司马师为大将军，专揽国政。甘露五年（260年），魏帝曹髦被弑杀，司马昭立曹奂为帝。景元四年（263年），分兵遣钟会、邓艾、诸葛绪三路灭亡蜀汉，受封晋公。次年，进爵晋王。咸熙二年（265年），司马昭病逝，年五十五，葬于崇阳陵。数月后，其子司马炎代魏称帝，建立晋朝，追尊司马昭为皇帝，谥号文帝，庙号太祖。,67,87,154,地泉冲1炎龙7雷光波动14地泉裂劲19雷光振杀26炎龙怒涛33,降敌士气(初)1快速集气(初)6增加经验(初)13保护主将19减缓集气(中)13保护主将19减缓集气(中)25增加体力(中)31保留气力(高)37,直剑,雁 玄 ,雁,武 ,武,,,,,邺登,司马懿,4
43,司马师,司马师（208年～255年3月23日），字子元，河内温县（今河南省温县）人。三国时期曹魏权臣，西晋王朝的奠基人之一，晋宣帝司马懿与宣穆皇后张春华的长子，晋文帝司马昭的同母兄，晋武帝司马炎的伯父。司马师沉着坚强，雄才大略，早年与夏侯玄、何晏齐名[1] 。高平陵政变后，以功封长平乡侯，旋加卫将军。司马懿死后，以抚军大将军辅政，独揽朝廷大权，次年升为大将军。掌权后，他制定选拔官吏的法规，命百官推荐贤才，整顿纲纪，使其各有职掌，朝野肃然。司马师也有卓越的军事才能，曾用计于新城之战击溃吴国诸葛恪的大军。嘉平六年（254年），魏帝曹芳与中书令李丰等人密谋除司马师，事情泄露，司马师杀死参与者，迫郭太后废曹芳，改立高贵乡公曹髦为帝。次年，亲自率兵平定毌丘俭、文钦之乱。回师途中病死，时年四十八岁，谥号“忠武”。后被追尊为晋景王。西晋建立后，被追尊为景皇帝，庙号世宗。,66,93,159,伏兵组阵1虎咆6御飞刀12木轮强袭19地泉鲸浪25炎龙杀阵31后伏军阵36,减缓集气(初)1强化士兵(初)7降敌士气(中)12乱阵19恢复体力(中)12乱阵19恢复体力(中)24喝阻敌军(中)29快速集气(高)36强化士兵(高)41,直剑,圆 钩 ,钩,飞 ,飞,,,,,邺登,司马懿,4
44,司马徽,司马徽（？—208年），字德操，颍川阳翟（今河南省禹州市）人。东汉末年隐士，精通奇门、兵法、经学。有“水镜先生”之称。司马徽为人清雅，学识广博，有知人之明，并向刘备推荐了诸葛亮、庞统等人，受到世人的敬重。,32,97,129,地泉冲1炎龙6地泉裂劲12炎龙无双17地泉鲸浪22炎龙杀阵29大地狂啸34十面埋伏39,离间计(初)1恢复体力(初)5强化武将(初)11劝降17恢复技力(中)11劝降17恢复技力(中)23增加经验(中)28恢复技力(高)33增加体力(高)39,直剑,方 ,方,刀 ,刀,襄阳野,襄阳野,襄阳野,襄阳野,襄阳野,,6
45,司马懿,司马懿（179年～251年9月7日[1] ），字仲达，河内郡温县孝敬里（今河南省焦作市温县）人。三国时期曹魏政治家、军事谋略家、权臣，西晋王朝的奠基人之一。司马懿自幼聪明多大略，博学洽闻，伏膺儒教。因汉室被曹氏所控制，司马懿一度拒绝曹操授予的官职，但建安十三年（208年），曹操任丞相后，强行辟司马懿为文学掾。因司马懿曾支持曹操称帝，所以逐渐赢得了曹操的信任。曹操封魏王后，以司马懿为太子中庶子以佐助曹丕，帮助曹丕在储位之争中获得胜利。曹丕临终时，令司马懿与曹真等为辅政大臣，辅佐魏明帝曹叡。明帝时，司马懿屡迁抚军大将军、大将军、太尉等重职。明帝崩，托孤幼帝曹芳于司马懿和曹爽。曹芳继位后，司马懿遭到曹爽排挤，升官为无实权的太傅。正始十年（249年），司马懿趁曹爽陪曹芳离洛阳至高平陵祭陵，起兵政变并控制京都洛阳。自此，曹魏的军政权力落入司马氏手中，史称高平陵事变。司马懿善谋奇策，多次征伐有功，曾率军擒斩孟达，两次率大军成功抵御诸葛亮北伐，远征平定辽东。对屯田、水利等农耕经济发展有重要贡献。嘉平三年（251年），司马懿病逝，享年七十三岁，辞郡公和殊礼，葬于首阳山，谥号宣文。其次子司马昭封晋王后，追谥司马懿为宣王；其孙司马炎称帝后，追尊司马懿为宣皇帝，庙号高祖。[2] ,71,99,170,木轮攻1炎龙6雷光波动12炎龙无双17黄龙天翔24炎龙怒涛28后伏军阵34天地无用40,化解计策1增加经验(中)7增加体力(高)11金蝉脱壳17十面埋伏11金蝉脱壳17十面埋伏22恢复技力(高)29混乱敌军(高)34强化武将(高)39,直剑,圆 玄 鱼 ,圆,弓 铁 ,弓,,,,许昌登,邺登,,4
46,左慈,左慈，字元放，庐江人，汉族，自号乌角先生，东汉末年著名方士，少居天柱山，研习炼丹之术。明五经，兼通星纬，明六甲，传说能役使鬼神，坐致行厨。《后汉书》说他少有神道。据记载他的一只眼睛是盲的，并且他与甘始、郤俭自称自己有几百岁。,33,98,131,火箭1虎咆6雷光波动12炎龙无双17雷击闪23炎龙怒涛29五雷轰顶34炎龙绝杀39,诈败1增加体力(初)6强化武将(初)11化解计策17恢复技力(中)11化解计策17恢复技力(中)22增加经验(中)27十面埋伏34增加经验(高)40,直剑,圆 雁 玄 ,玄,武 ,武,庐江野,庐江野,邺野,邺野,邺野,,6
47,左贤王,左贤王是匈奴贵族封号，在匈奴官制中，地位最高。乌珠留单于时（前8－13），以任左贤王者相继死亡，认为此号不祥，曾改称“护于”。与左谷蠡王、右贤王、右谷蠡王合称“四角”。,64,83,147,火箭1火雷6御飞刀14地泉裂劲21雷击闪26后伏兵阵34,扰乱敌将(初)1增加技力(初)7增加经验(初)13太公阵21恢复体力(中)13太公阵21恢复体力(中)27混乱敌军(中)34,直剑,圆 ,圆,弓 ,弓,,,,晋阳登,晋阳登,,3
48,甘宁,甘宁（？—215年？存疑），字兴霸，巴郡临江（今重庆忠县）人[58] ，三国时期孙吴名将，官至西陵太守，折冲将军。甘宁少年时在地方上为非作歹，组成渠师抢夺船只财物，崇尚奢华，人称锦帆贼。青年时停止抢劫，熟读诸子。曾任蜀郡丞，后历仕于刘表和黄祖麾下，未受重用。建安十三年（208年），甘宁率部投奔孙权，开始建功立业。曾经力劝孙权攻破黄祖占据楚关，随周瑜攻曹仁夺取夷陵，随鲁肃镇益阳对峙关羽，随孙权攻皖城擒获朱光。率百余人夜袭曹营，斩得数十首级而回。在逍遥津之战，他保护孙权蹴马趋津，死里逃生。孙权曾说：“孟德有张辽，孤有甘兴霸，足相敌也”。吕蒙曾说：“天下未定，斗将如宁难得，宜容忍之。”[1] 甘宁虽然粗野凶狠，暴躁嗜杀，甚至违反承诺、违抗命令，但是，开朗豪爽，有勇有谋，轻视钱财，敬重士人，厚待士卒，并深得士卒拥戴。陈寿在史书中将他列为“江表之虎臣”。[1-3] （概述内图片来源：叶雄《三国演义人物谱》）,96,63,159,刀剑乱1伏兵班阵6连弩激射13火牛阵18三日月斩23神火旋张30分身斩34神鬼乱舞40,保留气力(初)1增加技力(初)9增加经验(初)21偷袭敌军3021偷袭敌军30,短锥枪,方 圆 ,方,关 ,关,,,江夏登,庐江登,长沙登,,4
49,田丰,田丰（？－200年），字元皓，钜鹿（今河北巨鹿一带）人，一说渤海人。[1] 东汉末年袁绍部下谋臣，官至冀州别驾。其为人刚直，曾多次向袁绍进言而不被采纳，曹操部下谋臣荀彧曾评价他“刚而犯上”。后因谏阻袁绍征伐曹操而被袁绍下令监禁。官渡之战后，田丰被袁绍杀害。,52,95,147,地泉冲1虎咆6伏兵排阵11后伏连兵18虎咆阳炎23火雷星雨29十面埋伏36大地狂啸40,扰乱敌将(初)1恢复体力(初)7强化武将(初)11包围敌军17减缓集气(中)11包围敌军17减缓集气(中)23增强攻击(中)29减缓集气(高)34增加技力(高)41,直剑,圆 玄 ,圆,飞 ,飞,南皮野,南皮登,,,,,4
50,田畴,田畴（chóu）（169年—214年），字子泰，右北平郡无终县（今河北省玉田县）人。东汉末年隐士。年少喜爱读书，善于击剑，初为幽州（刘虞）从事。率领全族隐居，不受袁绍征辟。建安十二年（207年），曹操北征乌桓时，进入麾下，担任司空户曹掾。参与平定乌丸、攻打荆州，颇有功勋，授议郎。建安十九年（214年），去世，时年四十六岁。（概述图片来源）[1] ,74,54,128,落石1鬼戟9冰柱刺16烈火旋灯24驷冲车32,后选出阵1恢复技力(初)23,短锥枪,玄 ,玄,刀 ,刀,,,邺登,邺登,洛阳登,,4
51,申耽,生卒年不详，三国时期人物。字义举，原先是西平、上庸间的豪强大户，申仪之兄。刘备入蜀，耽举众降，任征北将军，领上庸太守、员乡侯如故。后又降魏，徙居南阳。,70,64,134,落石1地茅刺9八面火转18龙炮激射27,降敌士气(初)1增加体力(初)11增加经验(初)20偷袭敌军2920偷袭敌军29,铜殳,玄 ,玄,铁 ,铁,,,,上庸野,上庸登,,3
52,伊籍,伊籍（生卒年不详），字机伯，兖州山阳郡（今山东金乡县）人，三国时期蜀汉官员。年少时依附于同乡刘表。刘备落难到荆州时，伊籍时常拜访，托请刘备照顾。建安十三年（208年），刘表病死，伊籍便转投刘备，一起渡江南下。建安十六年（211年），刘备入蜀帮助刘璋，伊籍亦有跟随。随后刘备和刘璋双方决裂。建安十九年（214年），刘备平定益州，任命伊籍为左将军从事中郎，其待遇次于简雍、孙乾等。后升任昭文将军，并与诸葛亮、法正、刘巴、李严共同编制《蜀科》。,44,81,125,木轮攻1伏焰7雷光波动16木轮强袭22虎咆阳炎29,后选出阵1恢复技力(初)8喝阻敌军(初)13乱阵20恢复体力(中)13乱阵20恢复体力(中)28增加经验(中)35,直剑,圆 鱼 ,鱼,弓 ,弓,,,新野野,江夏野,江陵登,,4
53,全琮,全琮（？～249年），字子璜，吴郡钱唐（今浙江省杭州市）人。三国时期吴国名将，桂阳太守全柔之子。早年仁义，赈济灾民。起家奋威校尉，参与讨伐山越。募兵守卫牛渚，迁偏将军。参加洞口之战，加号绥南将军，进封钱唐侯，授九江太守。参加石亭之战，配合辅国将军陆逊，大败曹魏大司马曹休，迁东安郡守。黄龙元年（229年），迁卫将军、左护军、徐州牧，娶孙权长女孙鲁班，阻止太子孙登出征。赤乌四年（241年），出任大都督，大战魏将王凌于芍陂。赤乌九年（246年），迁右大司马、左军师，阻止孙权围攻珠崖和夷州，没有得到采纳赤乌十二年（249年），全琮逝世。其子全怿嗣爵，不忍于孙綝的嗜杀无道，出城先降魏国。,84,76,160,连弩1旋灯火8龙炮13乱飞矢20驷冲车26龙炮灭杀33,离间计(初)1诈败8喝阻敌军(初)16太公阵24鼓舞士气(高)16太公阵24鼓舞士气(高)32,短锥枪,方 雁 钩 ,方,枪 炼 ,枪,,,,吴野,建业登,,4
54,全端,全端，三国时期吴郡钱塘（今浙江省杭州市）人。东吴名将全琮之从子。,75,66,141,落石1回天术9神剑16火牛阵24滚石遽压31,后选出阵1增加技力(初)10强化武将(初)19乱阵2919乱阵29,短锥枪,玄 ,玄,刀 ,刀,,,,,建业野,,2
55,向朗,暂无,34,83,117,木轮攻1伏焰7伏兵排阵14后伏连兵20地泉鲸浪28火箭天袭34,后选出阵1快速集气(初)7扰乱敌将(中)13减少疲劳(中)21降敌士气(高)13减少疲劳(中)21降敌士气(高)27喝阻敌军(中)34,直剑,方 玄 钩 ,方,武 ,武,,新野野,襄阳野,上庸野,成都登,,3
